Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
343,mixal,1,rbergen,30,6.28000,1,base,no,1,4.77707
344,rexx,1,joss_REXX,24,5.03333,1,base,no,8,4.76822
345,m,1,rheit_m_8of30,24,5.12857,1,wheel,no,1,4.67966
346,m,1,rheit_m_bits,17,5.27820,1,base,yes,1,3.22079
347,m,1,rheit_m_tree,16,5.01099,1,base,no,1,3.19298
348,m,1,rheit_m_array,13,5.26070,1,base,yes,1,2.47115
349,awk,1,DaviNakamuraCardoso,12,5.00000,1,base,no,1,2.40000
350,clipper,1,AndyRadford,12,5.07000,1,base,no,112,2.36686
351,befunge,1,tjol-bf98,11,5.11485,1,base,no,1,2.15060
352,rust,5,kulasko-rust-stream-stripe-u8192,97,5.03127,11,base,yes,1,1.75268
353,tcl,1,fvbakeltcl,9,5.20400,1,base,yes,1,1.72944
354,sql,2,fvbakel_MariaDB3,9,5.43200,1,other,no,32,1.65685
355,rust,5,kulasko-rust-stream-rotate-u32,94,5.00901,12,base,yes,1,1.56385
356,rust,5,kulasko-rust-stream-bit-u32,94,5.05282,12,base,yes,1,1.55029
357,rust,5,kulasko-rust-stream-rotate-u8,93,5.01190,12,base,yes,1,1.54632
358,rust,5,kulasko-rust-stream-bit-u8,92,5.01430,12,base,yes,1,1.52896
359,rust,5,kulasko-rust-stream-bool-u8,91,5.05028,12,base,yes,8,1.50157
360,red,1,mmcdon20_red,7,5.09495,1,base,yes,1,1.37391
361,haxe,1,TayIorRobinson_Haxe_Python,7,5.11429,1,base,yes,1,1.36871
362,sql,1,fvbakel_sqlite,7,5.13643,1,other,no,8,1.36281
363,clojure,1,mmcdon20_clojure,7,5.39700,1,base,yes,1,1.29702
364,raku,1,draco1006,7,5.45857,1,base,yes,1,1.28239
365,tcl,2,fvbakel_ootcl,7,5.61500,1,base,yes,1,1.24666
366,sql,2,fvbakel_MariaDB2,6,5.73200,1,other,no,32,1.04676
367,clipper,1,AndyRadford,5,5.77000,1,base,no,112,0.86655
368,prolog,1,jimbxb-prolog-dynamic,5,5.89300,1,base,no,1,0.84846
369,idl,1,kriztioan_1bit,4,6.08625,1,base,yes,1,0.65722
370,bash,1,bash_inline,3,7.27975,1,base,no,1,0.41210
371,bash,1,bash,2,7.66506,1,base,no,1,0.26092
372,clipper,1,AndyRadford,2,8.09000,1,base,yes,288,0.24722
373,sql,2,fvbakel_MariaDB1,2,9.37900,1,base,no,32,0.21324
374,comal,2,kottm,1,6.00000,1,base,no,1,0.16667
375,tex,1,tjol,2,12.35825,1,base,no,32,0.16184
376,prolog,1,jimbxb-prolog-basic,1,6.85700,1,base,yes,1,0.14584
377,bash,1,bash_packed,1,7.67148,1,base,no,1,0.13035
378,elixir,1,cdesch,1,13.15700,1,base,no,1,0.07601
379,yoix,1,mmcdon20_yoix,1,14.10000,1,base,yes,1,0.07092
380,kermit,1,q3w3e3,1,55.00000,1,base,no,1,0.01818
381,brainfuck,1,aquarel,1,61.37271,1,base,no,32,0.01629
382,powershell,1,crowbar27_ps1,1,61.91560,1,base,yes,1,0.01615
383,octave,2,Brandon-Johns_1bit,1,146.63767,1,base,yes,1,0.00682
